no,obs_code,management,name_K,name_E,watershed,river,address,long,lat
583,3012681,환경부,논산시(석성천교),Nonsan-si(Seokseongcheongyo),금강,석성천,충청남도 논산시 광석면 득윤리 석성천교,127.032222,36.235556
,,,,,,,(충청남도,,
584,3012685,환경부,부여군(반조원리),Buyeo-gun(Banjowon-ri),금강,금강,충청남도 부여군 세도면 반조원리 549,126.976111,36.196389
585,3012690,환경부,논산시(동성교),Nonsan-si(Dongseonggyo),금강,석성천,충청남도 논산시 성동면 우곤리 동성교,127.006667,36.21
,,,,,,,(충청남도 부,,
586,3013605,환경부,논산시(인천교),Nonsan-si(Incheongyo),금강,논산천,충청남도 논산시 양촌면 인천리 인천교,127.235833,36.136944
587,3013665,환경부,논산시(풋개다리),Nonsan-si(Putgaedari),금강,노성천,충청남도 논산시 광석면 항월리,127.13,36.233611
588,3013670,환경부,논산시(논산대교),Nonsan-si(Nonsandaegyo),금강,논산천,충청남도 논산시 대교동 논산대교,127.080278,36.209722
589,3013685,환경부,논산시(제내교),Nonsan-si(Jenaegyo),금강,강경천,충청남도 논산시 채운면 채운리 제내교,127.0375,36.143889
590,3014610,환경부,논산시(황산대교),Nonsan-si(Hwangsandaegyo),금강,금강,충청남도 논산시 강경면 황산리 황산대교,127.007222,36.153889
,,,,,,,(충청남도,,
591,3014650,환경부,부여군(입포리),Buyeo-gun(Ippo-ri),금강,금강,충청남도 부여군 양화면 입포리 209-9,126.883333,36.135
592,3014670,환경부,서천군(옥포리),Seocheon-gun(Okpo-ri),금강,금강,충청남도 서천군 화양면 옥포리 528-8,126.781389,36.036111
593,3014680,환경부,서천군(북원교),Seocheon-gun(Bukwongyo),금강,길산천,충청남도 서천군 기산면 원길리 북원교,126.730833,36.074444
594,3014690,농어촌공사,금강(내),Gumgang(Nae),금강,금강,전북 군산시 성산면 철새로 45번지(금강하구둑),126.751667,36.013611
595,3014695,농어촌공사,금강(외),Gumgang(Weo),금강,금강,전북 군산시 성산면 철새로 45번지(금강하구둑),126.758056,36.009722
